"Teilnehmer","Startzeit","Endzeit","Quelle","Welchem Geschlecht ordnen Sie sich zu?","Wie alt sind Sie?","In welchem Arbeitsverhältnis befinden Sie sich zur Zeit?","Wie gern lesen Sie auf einer Skala von 1 (gar nicht gern) bis 10 (sehr gern)? (Punkte von 1 bis 10) ","Wie oft nutzen Sie Printmedien (unabhängig davon, welche Medien Sie nutzen)?","Wie oft lesen Sie in einer Zeitung/ Zeitschrift etc.?","Wie oft lesen Sie in einem Buch (gemeint ist Freizeitliteratur, d.h. Romane etc.)?","Zu welcher Tageszeit lesen Sie normalerweise? (Eine Mehrfachauswahl ist möglich.) (morgens)","Zu welcher Tageszeit lesen Sie normalerweise? (Eine Mehrfachauswahl ist möglich.) (mittags)","Zu welcher Tageszeit lesen Sie normalerweise? (Eine Mehrfachauswahl ist möglich.) (nachmittags)","Zu welcher Tageszeit lesen Sie normalerweise? (Eine Mehrfachauswahl ist möglich.) (abends)","Zu welcher Tageszeit lesen Sie normalerweise? (Eine Mehrfachauswahl ist möglich.) (nachts)","Wie entspannt fühlen Sie sich nach dem Lesen eines Buches auf einer Skala von 1 (gar nicht entspannt) bis 10 (sehr entspannt)? (Punkte von 1 bis 10) ","Wie schwer fällt es Ihnen, sich über einen längeren Zeitraum auf ein Buch zu konzentrieren auf einer Skala von 1 (gar nicht schwer) bis 10 (sehr schwer)? (Punkte von 1 bis 10) ","Wie gestresst fühlen Sie sich nach dem Lesen eines Buches auf einer Skala von 1 (gar nicht gestresst) bis 10 (sehr gestresst)? (Punkte von 1 bis 10) ","Wie anstrengend empfinden Sie es, ein Buch zu lesen auf einer Skala von 1 (gar nicht anstrengend) bis 10 (sehr anstrengend)? (Punkte von 1 bis 10) ","Wie oft haben Sie Symptome wie Kopfschmerzen, brennende Augen etc. nach dem Lesen?","Wie motiviert sind Sie nach dem Lesen eines Buches, körperlich aktiv zu werden auf einer Skala von 1 (gar nicht motiviert) bis 10 (sehr motiviert)? (Punkte von 1 bis 10) ","Wie oft konsumieren Sie Snacks während des Lesens?","Wie gern schauen Sie Filme / Serien auf einer Skala von 1 (gar nicht gern) bis 10 (sehr gern)? (Punkte von 1 bis 10) ","Wie oft nutzen Sie visuelle Medien (unabhängig davon, welche Medien Sie nutzen)?","Wie oft schauen Sie Sendungen / Filme / Serien etc. im regulären Fernsehprogramm?","Wie oft nutzen Sie Streaming Dienste zum Schauen von Filmen / Serien?","Zu welcher Tageszeit schauen Sie normalerweise Filme / Serien? (Eine Mehrfachauswahl ist möglich.) (morgens)","Zu welcher Tageszeit schauen Sie normalerweise Filme / Serien? (Eine Mehrfachauswahl ist möglich.) (mittags)","Zu welcher Tageszeit schauen Sie normalerweise Filme / Serien? (Eine Mehrfachauswahl ist möglich.) (nachmittags)","Zu welcher Tageszeit schauen Sie normalerweise Filme / Serien? (Eine Mehrfachauswahl ist möglich.) (abends)","Zu welcher Tageszeit schauen Sie normalerweise Filme / Serien? (Eine Mehrfachauswahl ist möglich.) (nachts)","Wie entspannt fühlen Sie sich nach dem Schauen eines Filmes / einer Serie auf einer Skala von 1 (gar nicht entspannt) bis 10 (sehr entspannt)? (Punkte von 1 bis 10) ","Wie schwer fällt es Ihnen, sich über einen längeren Zeitraum auf einen Film / eine Serie zu konzentrieren auf einer Skala von 1 (gar nicht schwer) bis 10 (sehr schwer)? (Punkte von 1 bis 10) ","Wie gestresst fühlen Sie sich nach dem Schauen eines Filmes / einer Serie auf einer Skala von 1 (gar nicht gestresst) bis 10 (sehr gestresst)? (Punkte von 1 bis 10) ","Wie anstrengend empfinden Sie es, einen Film / eine Serie zu schauen auf einer Skala von 1 (gar nicht anstrengend) bis 10 (sehr anstrengend)? (Punkte von 1 bis 10) ","Wie oft haben Sie Symptome wie Kopfschmerzen, brennende Augen etc. nachdem Sie einen Film / eine Serie geschaut haben?","Wie motiviert sind Sie nach dem Schauen eines Filmes / einer Serie, körperlich aktiv zu werden auf einer Skala von 1 (gar nicht motiviert) bis 10 (sehr motiviert)? (Punkte von 1 bis 10) ","Wie oft konsumieren Sie Snacks während Sie einen Film / eine Serie schauen?","Was denken Sie, ist gesünder?"
"1","23.06.2021 09:43:37","23.06.2021 09:46:05","Direkter Link","weiblich","21","Schüler*in / Student*in","8","selten","nie","gelegentlich","1","1","1","1","0","9","7","2","3","nie","2","nie","10","oft","selten","sehr oft","1","0","0","1","0","5","2","2","3","selten","2","selten","Ein Buch zu lesen ist gesünder."
"2","23.06.2021 09:44:55","23.06.2021 09:48:44","Direkter Link","männlich","21","Schüler*in / Student*in","8","gelegentlich","nie","oft","0","0","0","1","0","9","3","1","2","selten","2","selten","8","oft","oft","oft","0","0","0","0","1","6","4","3","2","selten","2","gelegentlich","Ein Buch zu lesen ist gesünder."
"3","23.06.2021 09:51:15","23.06.2021 09:56:04","Direkter Link","weiblich","22","Schüler*in / Student*in","9","selten","selten","gelegentlich","0","1","1","1","0","10","2","1","1","nie","3","selten","8","sehr oft","selten","oft","0","0","0","1","1","7","2","3","4","selten","3","gelegentlich","Ein Buch zu lesen ist gesünder."
"4","23.06.2021 11:30:24","23.06.2021 11:34:39","Direkter Link","weiblich","45","Angestellte*r","10","oft","oft","oft","0","0","0","1","1","8","1","1","2","gelegentlich","3","selten","8","oft","sehr oft","oft","0","0","0","1","1","7","4","2","1","gelegentlich","3","gelegentlich","Ein Buch zu lesen ist gesünder."
"5","23.06.2021 09:32:11","23.06.2021 09:35:55","Direkter Link","weiblich","27","Schüler*in / Student*in","9","oft","selten","gelegentlich","1","0","1","1","1","5","2","3","2","selten","4","selten","3","oft","nie","nie","0","0","0","1","1","4","2","5","2","selten","3","gelegentlich","Beides ist gleichermaßen gesund."
"6","23.06.2021 11:41:05","23.06.2021 11:44:23","Direkter Link","männlich","20","Schüler*in / Student*in","3","selten","selten","selten","0","0","0","1","1","6","10","5","7","nie","5","gelegentlich","10","sehr oft","nie","sehr oft","0","0","1","1","1","7","7","3","2","selten","3","gelegentlich","Beides ist gleichermaßen gesund."
"7","23.06.2021 11:38:21","23.06.2021 11:45:26","Direkter Link","weiblich","21","Schüler*in / Student*in","9","oft","gelegentlich","oft","0","0","1","1","0","10","2","1","2","nie","5","nie","9","sehr oft","gelegentlich","sehr oft","0","0","0","1","1","7","3","3","2","selten","4","gelegentlich","Ein Buch zu lesen ist gesünder."
"8","23.06.2021 12:13:08","23.06.2021 12:24:48","Direkter Link","männlich","21","Schüler*in / Student*in","4","selten","nie","selten","0","0","0","1","0","4","9","3","4","nie","2","nie","4","sehr oft","nie","nie","0","0","0","1","0","8","2","2","2","nie","2","gelegentlich","Beides ist gleichermaßen gesund."
"9","23.06.2021 12:25:23","23.06.2021 12:29:30","Direkter Link","divers","21","Schüler*in / Student*in","9","gelegentlich","nie","gelegentlich","0","0","0","1","0","6","8","2","3","nie","7","nie","7","sehr oft","nie","gelegentlich","0","0","0","1","1","4","6","3","2","nie","9","gelegentlich","Beides ist gleichermaßen gesund."
"10","23.06.2021 12:52:03","23.06.2021 12:57:04","Direkter Link","männlich","21","Schüler*in / Student*in","4","selten","nie","gelegentlich","0","1","1","0","0","8","6","2","9","nie","1","selten","10","sehr oft","nie","sehr oft","0","0","0","0","1","8","3","3","1","nie","1","selten","Beides ist gleichermaßen gesund."
"11","23.06.2021 13:06:38","23.06.2021 13:12:23","Direkter Link","weiblich","60","Angestellte*r","10","sehr oft","gelegentlich","sehr oft","0","0","0","1","0","9","7","1","1","nie","1","selten","9","oft","sehr oft","nie","0","0","0","1","0","5","5","5","5","selten","3","selten","Ein Buch zu lesen ist gesünder."
"12","23.06.2021 14:57:58","23.06.2021 15:03:55","Direkter Link","männlich","21","Schüler*in / Student*in","4","gelegentlich","selten","gelegentlich","0","0","0","1","1","8","6","2","4","selten","2","selten","10","sehr oft","selten","sehr oft","0","1","1","1","1","9","1","1","2","selten","4","gelegentlich","Ein Buch zu lesen ist gesünder."
"13","23.06.2021 16:13:03","23.06.2021 16:18:34","Direkter Link","weiblich","28","Angestellte*r","8","gelegentlich","selten","gelegentlich","0","0","0","1","0","8","2","1","2","nie","6","nie","9","sehr oft","selten","oft","1","0","0","1","0","5","1","2","2","nie","4","gelegentlich","Ein Buch zu lesen ist gesünder."
"14","23.06.2021 16:22:23","23.06.2021 16:27:35","Direkter Link","männlich","45","Angestellte*r","8","oft","oft","gelegentlich","0","0","1","1","0","7","3","3","3","nie","2","nie","8","oft","selten","oft","0","0","0","1","1","7","3","3","3","nie","8","nie","Ein Buch zu lesen ist gesünder."
"15","23.06.2021 16:45:49","23.06.2021 16:49:33","Direkter Link","weiblich","19","Schüler*in / Student*in","9","gelegentlich","selten","oft","0","0","0","1","1","6","8","6","8","gelegentlich","6","selten","5","sehr oft","selten","sehr oft","0","0","1","1","1","6","4","5","4","oft","7","gelegentlich","Ein Buch zu lesen ist gesünder."
"16","23.06.2021 19:22:53","23.06.2021 19:27:44","Direkter Link","weiblich","50","Angestellte*r","10","sehr oft","gelegentlich","sehr oft","0","0","1","1","0","10","2","1","2","oft","4","selten","5","oft","gelegentlich","gelegentlich","0","0","0","1","0","5","1","1","1","oft","1","gelegentlich","Ein Buch zu lesen ist gesünder."
"17","24.06.2021 09:47:31","24.06.2021 09:51:14","Direkter Link","männlich","38","Angestellte*r","10","sehr oft","selten","sehr oft","0","1","0","1","1","6","2","1","1","nie","1","nie","10","sehr oft","nie","gelegentlich","0","0","0","1","1","7","3","1","2","nie","1","selten","Beides ist gleichermaßen gesund."
"18","24.06.2021 10:24:54","24.06.2021 10:28:21","Direkter Link","männlich","23","Schüler*in / Student*in","6","selten","nie","selten","0","0","0","1","0","6","2","5","4","selten","5","selten","10","sehr oft","nie","sehr oft","0","0","0","1","0","3","1","3","1","selten","1","gelegentlich","Ein Buch zu lesen ist gesünder."
"19","24.06.2021 11:33:36","24.06.2021 11:37:26","Direkter Link","weiblich","21","Auszubildende*r","10","oft","gelegentlich","sehr oft","0","0","0","1","1","9","1","2","1","nie","4","oft","8","gelegentlich","selten","oft","0","0","0","1","0","8","7","1","3","selten","1","oft","Ein Buch zu lesen ist gesünder."
"20","24.06.2021 11:44:39","24.06.2021 11:49:05","Direkter Link","weiblich","22","Schüler*in / Student*in","9","oft","selten","oft","0","0","1","1","1","10","2","1","3","nie","4","selten","9","sehr oft","nie","sehr oft","0","0","1","1","1","8","5","2","5","gelegentlich","6","sehr oft","Ein Buch zu lesen ist gesünder."
"21","24.06.2021 12:15:36","24.06.2021 12:21:47","Direkter Link","männlich","20","Schüler*in / Student*in","8","gelegentlich","gelegentlich","gelegentlich","1","1","1","1","1","7","1","1","6","nie","1","nie","10","sehr oft","gelegentlich","sehr oft","0","0","1","1","1","9","1","1","1","nie","1","oft","Beides ist gleichermaßen gesund."
"22","24.06.2021 13:13:59","24.06.2021 13:18:14","Direkter Link","weiblich","21","Schüler*in / Student*in","8","oft","gelegentlich","gelegentlich","0","0","1","1","1","8","2","2","2","nie","2","nie","10","sehr oft","selten","sehr oft","0","1","1","1","1","9","4","2","2","nie","2","gelegentlich","Ein Buch zu lesen ist gesünder."
"23","24.06.2021 16:24:46","24.06.2021 16:29:19","Direkter Link","weiblich","19","Angestellte*r","8","oft","selten","gelegentlich","0","1","1","1","0","10","3","1","3","nie","5","selten","7","sehr oft","gelegentlich","oft","0","0","1","1","0","9","3","3","2","selten","5","gelegentlich","Ein Buch zu lesen ist gesünder."
"24","24.06.2021 16:50:03","24.06.2021 16:58:46","Direkter Link","weiblich","13","Schüler*in / Student*in","9","sehr oft","selten","sehr oft","0","0","1","1","0","8","3","1","1","selten","3","selten","9","sehr oft","selten","sehr oft","0","0","1","0","0","7","2","2","1","gelegentlich","2","oft","Ein Buch zu lesen ist gesünder."
"25","24.06.2021 17:41:42","24.06.2021 17:46:12","Direkter Link","weiblich","20","Schüler*in / Student*in","8","gelegentlich","gelegentlich","gelegentlich","0","0","1","1","0","9","3","2","1","oft","5","selten","9","sehr oft","gelegentlich","gelegentlich","0","0","0","1","0","8","3","4","6","oft","6","oft","Ein Buch zu lesen ist gesünder."
"26","24.06.2021 18:12:25","24.06.2021 18:15:23","Direkter Link","keine Angabe","28","Selbstständige*r","7","selten","selten","gelegentlich","0","0","0","1","0","7","7","2","7","nie","2","selten","9","sehr oft","selten","oft","1","1","1","1","1","7","1","2","2","nie","4","oft","Beides ist gleichermaßen gesund."
"27","25.06.2021 11:52:05","25.06.2021 11:55:38","Direkter Link","weiblich","21","Schüler*in / Student*in","10","oft","selten","oft","0","0","1","1","1","10","1","1","1","oft","1","selten","10","sehr oft","gelegentlich","sehr oft","1","0","0","1","0","10","3","2","2","oft","1","oft","Ein Buch zu lesen ist gesünder."
"28","25.06.2021 11:52:54","25.06.2021 11:55:43","Direkter Link","weiblich","22","Schüler*in / Student*in","8","gelegentlich","selten","gelegentlich","0","0","1","0","0","8","1","1","3","gelegentlich","1","nie","10","sehr oft","oft","sehr oft","0","1","0","1","0","7","1","1","1","selten","2","oft","Ein Buch zu lesen ist gesünder."
"29","25.06.2021 11:52:58","25.06.2021 11:56:22","Direkter Link","weiblich","21","Schüler*in / Student*in","6","gelegentlich","selten","selten","0","1","0","1","0","8","6","2","4","oft","4","gelegentlich","8","sehr oft","oft","oft","1","1","1","1","0","9","8","2","6","gelegentlich","5","gelegentlich","Ein Buch zu lesen ist gesünder."
"30","25.06.2021 11:54:14","25.06.2021 11:57:37","Direkter Link","weiblich","20","Schüler*in / Student*in","10","oft","gelegentlich","sehr oft","1","1","1","1","0","10","2","1","1","nie","5","gelegentlich","6","oft","selten","gelegentlich","0","0","0","1","0","8","2","2","3","gelegentlich","3","gelegentlich","Ein Buch zu lesen ist gesünder."
"31","25.06.2021 11:53:53","25.06.2021 11:57:44","Direkter Link","weiblich","22","Schüler*in / Student*in","5","oft","selten","oft","0","0","0","1","1","7","8","3","5","selten","5","selten","10","sehr oft","gelegentlich","sehr oft","0","0","1","1","1","9","3","2","4","selten","2","oft","Ein Buch zu lesen ist gesünder."
"32","25.06.2021 11:57:35","25.06.2021 12:00:36","Direkter Link","weiblich","21","Schüler*in / Student*in","10","oft","selten","gelegentlich","0","0","1","1","0","10","3","1","2","selten","5","nie","10","sehr oft","gelegentlich","sehr oft","1","1","0","0","1","5","5","6","6","oft","1","selten","Ein Buch zu lesen ist gesünder."
"33","25.06.2021 11:57:36","25.06.2021 12:01:19","Direkter Link","weiblich","19","Schüler*in / Student*in","10","oft","selten","oft","0","0","0","1","1","7","6","4","3","selten","4","selten","8","oft","selten","oft","0","0","0","1","0","4","8","6","4","gelegentlich","3","sehr oft","Ein Buch zu lesen ist gesünder."
"34","25.06.2021 12:02:46","25.06.2021 12:06:40","Direkter Link","weiblich","20","Schüler*in / Student*in","10","gelegentlich","selten","oft","0","0","1","1","1","9","2","1","2","nie","3","selten","8","sehr oft","selten","sehr oft","1","1","1","1","1","4","8","5","1","gelegentlich","1","gelegentlich","Ein Buch zu lesen ist gesünder."
"35","25.06.2021 11:52:27","25.06.2021 12:09:15","Direkter Link","männlich","20","Schüler*in / Student*in","5","gelegentlich","selten","gelegentlich","0","0","0","1","0","7","7","3","4","oft","4","selten","10","oft","nie","sehr oft","0","1","0","1","0","10","4","1","2","selten","5","gelegentlich","Beides ist gleichermaßen ungesund."
"36","25.06.2021 12:10:11","25.06.2021 12:13:11","Direkter Link","weiblich","20","Schüler*in / Student*in","10","oft","selten","sehr oft","0","0","0","1","1","9","1","2","1","nie","5","oft","10","oft","selten","sehr oft","0","0","0","1","1","9","5","2","4","selten","2","oft","Beides ist gleichermaßen gesund."
"37","25.06.2021 12:08:27","25.06.2021 12:17:45","Direkter Link","weiblich","20","Schüler*in / Student*in","10","sehr oft","selten","sehr oft","0","0","1","0","0","9","3","2","1","gelegentlich","1","selten","10","sehr oft","selten","sehr oft","0","0","1","1","0","8","5","3","2","gelegentlich","1","sehr oft","Ein Buch zu lesen ist gesünder."
"38","25.06.2021 12:15:53","25.06.2021 12:19:43","Direkter Link","weiblich","20","Schüler*in / Student*in","10","oft","gelegentlich","oft","0","0","1","1","0","8","1","1","1","selten","3","nie","8","oft","nie","gelegentlich","0","0","0","1","1","5","7","2","4","selten","3","gelegentlich","Beides ist gleichermaßen gesund."
"39","25.06.2021 12:16:27","25.06.2021 12:20:13","Direkter Link","weiblich","21","Schüler*in / Student*in","5","gelegentlich","selten","selten","1","0","1","0","0","6","2","2","1","selten","3","nie","9","oft","selten","gelegentlich","0","0","0","1","0","8","2","1","1","selten","5","gelegentlich","Ein Buch zu lesen ist gesünder."
"40","25.06.2021 12:12:58","25.06.2021 12:22:24","Direkter Link","weiblich","24","Schüler*in / Student*in","9","oft","selten","gelegentlich","0","0","1","1","0","8","3","2","2","selten","1","nie","10","sehr oft","selten","oft","0","0","1","1","0","5","2","3","2","selten","1","gelegentlich","Ein Buch zu lesen ist gesünder."
"41","25.06.2021 12:19:55","25.06.2021 12:24:39","Direkter Link","weiblich","21","Schüler*in / Student*in","10","oft","gelegentlich","oft","0","0","0","1","0","8","1","1","2","nie","5","selten","10","oft","oft","oft","0","0","0","1","1","7","10","1","1","selten","5","gelegentlich","Ein Buch zu lesen ist gesünder."
"42","25.06.2021 12:25:58","25.06.2021 12:33:06","Direkter Link","weiblich","45","Angestellte*r","8","sehr oft","oft","oft","0","0","1","1","0","7","6","2","4","selten","3","selten","10","sehr oft","sehr oft","nie","0","0","0","1","1","7","5","3","2","selten","4","gelegentlich","Beides ist gleichermaßen gesund."
"43","25.06.2021 12:39:41","25.06.2021 12:44:36","Direkter Link","weiblich","21","Schüler*in / Student*in","10","sehr oft","nie","sehr oft","1","0","1","0","0","10","2","2","2","selten","5","nie","10","sehr oft","selten","sehr oft","0","0","1","1","0","6","2","4","2","gelegentlich","3","gelegentlich","Ein Buch zu lesen ist gesünder."
"44","25.06.2021 13:09:55","25.06.2021 13:13:30","Direkter Link","weiblich","21","Schüler*in / Student*in","10","oft","gelegentlich","oft","0","0","1","1","0","8","2","2","1","gelegentlich","7","selten","10","oft","nie","oft","0","0","0","1","0","5","7","2","7","gelegentlich","8","oft","Ein Buch zu lesen ist gesünder."
"45","25.06.2021 14:13:32","25.06.2021 14:16:46","Direkter Link","weiblich","21","Schüler*in / Student*in","9","oft","gelegentlich","oft","0","0","1","1","0","10","3","1","1","gelegentlich","2","oft","10","sehr oft","selten","sehr oft","0","0","1","1","1","10","1","1","1","selten","2","oft","Ein Buch zu lesen ist gesünder."
"46","25.06.2021 18:36:39","25.06.2021 18:40:53","Direkter Link","weiblich","20","Schüler*in / Student*in","7","sehr oft","oft","gelegentlich","1","0","1","1","0","7","5","3","5","selten","2","selten","9","sehr oft","selten","oft","1","0","1","1","0","8","2","2","1","selten","2","gelegentlich","Ein Buch zu lesen ist gesünder."
"47","25.06.2021 23:03:48","25.06.2021 23:08:18","Direkter Link","weiblich","20","Schüler*in / Student*in","7","gelegentlich","selten","oft","1","1","1","0","0","4","10","5","10","sehr oft","7","gelegentlich","10","sehr oft","oft","sehr oft","0","0","1","1","1","4","2","5","6","selten","3","gelegentlich","Beides ist gleichermaßen gesund."
"48","26.06.2021 20:11:40","26.06.2021 20:16:42","Direkter Link","männlich","23","Schüler*in / Student*in","10","selten","selten","selten","0","0","0","1","0","7","7","1","1","nie","5","selten","8","sehr oft","nie","sehr oft","0","0","0","1","1","5","2","2","1","selten","1","gelegentlich","Ein Buch zu lesen ist gesünder."
"49","26.06.2021 20:20:36","26.06.2021 20:25:00","Direkter Link","weiblich","35","Angestellte*r","6","gelegentlich","gelegentlich","selten","0","0","0","1","0","5","2","2","2","nie","3","selten","5","oft","selten","gelegentlich","0","0","0","1","0","5","3","2","2","nie","4","selten","Ein Buch zu lesen ist gesünder."
"50","27.06.2021 09:02:25","27.06.2021 09:07:21","Direkter Link","weiblich","22","Schüler*in / Student*in","8","gelegentlich","selten","oft","1","0","1","0","0","9","6","2","4","nie","2","nie","10","sehr oft","selten","sehr oft","0","0","0","1","0","5","4","6","2","gelegentlich","3","gelegentlich","Beides ist gleichermaßen ungesund."
"51","27.06.2021 10:56:58","27.06.2021 11:00:25","Direkter Link","männlich","26","Schüler*in / Student*in","6","oft","gelegentlich","selten","0","0","0","1","1","8","8","3","5","nie","7","selten","3","sehr oft","nie","selten","0","0","0","1","1","7","5","3","4","selten","8","selten","Beides ist gleichermaßen gesund."
"52","27.06.2021 14:23:40","27.06.2021 14:28:24","Direkter Link","weiblich","44","Angestellte*r","10","sehr oft","sehr oft","oft","0","0","1","1","1","5","2","1","2","selten","3","selten","7","gelegentlich","selten","gelegentlich","1","0","0","0","0","5","1","5","2","selten","3","oft","Ein Buch zu lesen ist gesünder."
"53","28.06.2021 09:22:05","28.06.2021 09:28:42","Direkter Link","männlich","21","Schüler*in / Student*in","7","gelegentlich","oft","selten","0","0","0","1","1","8","6","1","4","selten","8","nie","10","gelegentlich","gelegentlich","gelegentlich","0","1","1","1","0","8","1","1","1","nie","9","selten","Ein Buch zu lesen ist gesünder."
"54","28.06.2021 09:39:21","28.06.2021 09:44:27","Direkter Link","weiblich","27","Angestellte*r","9","sehr oft","selten","oft","1","0","1","1","0","9","2","1","2","nie","6","selten","8","gelegentlich","nie","nie","0","0","0","1","0","7","2","5","5","selten","3","gelegentlich","Ein Buch zu lesen ist gesünder."
"55","28.06.2021 14:22:23","28.06.2021 14:28:09","Direkter Link","weiblich","51","Angestellte*r","10","gelegentlich","gelegentlich","oft","0","0","0","1","0","10","5","1","1","gelegentlich","6","nie","9","gelegentlich","gelegentlich","gelegentlich","0","0","1","1","0","9","8","8","2","gelegentlich","10","gelegentlich","Ein Buch zu lesen ist gesünder."
"56","28.06.2021 20:30:33","28.06.2021 20:36:03","Direkter Link","männlich","21","Auszubildende*r","8","oft","gelegentlich","oft","0","1","1","0","1","9","1","1","1","nie","3","gelegentlich","5","sehr oft","nie","gelegentlich","0","0","0","1","1","6","6","2","2","nie","1","oft","Ein Buch zu lesen ist gesünder."
"57","01.07.2021 17:58:12","01.07.2021 18:00:54","Direkter Link","männlich","24","Schüler*in / Student*in","6","gelegentlich","gelegentlich","gelegentlich","1","1","1","1","1","5","5","2","5","nie","7","selten","8","sehr oft","sehr oft","sehr oft","0","1","0","1","0","8","6","3","5","selten","4","sehr oft","Ein Buch zu lesen ist gesünder."
"58","03.07.2021 15:27:33","03.07.2021 15:35:15","Direkter Link","weiblich","21","Schüler*in / Student*in","10","gelegentlich","selten","oft","0","0","0","1","1","10","3","1","2","selten","4","selten","8","sehr oft","gelegentlich","sehr oft","0","0","0","1","1","8","4","4","4","gelegentlich","2","oft","Ein Buch zu lesen ist gesünder."
